scenario: 	PAYG, mortality decline
100*vars/times:	20	 100	 200	
GDP:	94.57	 92.54	 92.30	
C:	54.49	 53.55	 53.50	
L:	76.62	 75.43	 75.37	
U:	4.15	 4.11	 4.11	
C_y:	46.47	 44.76	 44.29	
C_o:	8.02	 8.79	 9.22	
share:	23.80	 25.73	 25.82	
prob_die:	4.57	 4.31	 4.31	
prob_ret:	1.50	 1.50	 1.50	
fert:	3.00	 3.00	 3.00	
g:	3.07	 3.03	 3.02	
Labinc_y:	42.97	 42.04	 41.92	
Income_y:	57.37	 55.39	 55.40	
Income_o:	10.39	 11.63	 11.85	
Pen:	5.82	 6.04	 6.03	
tau_c:	12.17	 12.17	 12.17	
tau_pi:	9.53	 9.53	 9.53	
tau_sf:	9.53	 9.53	 9.53	
tau_sw:	5.72	 5.72	 5.72	
Gov_GDP:	20.00	 20.00	 20.00	
B_GDP:	60.79	 75.28	 89.32	
PB:	0.87	 1.13	 1.48	
Rev:	26.55	 26.61	 26.90	
Ex:	25.68	 25.48	 25.42	
I:	21.17	 20.49	 20.33	
Lump_GDP:	8.06	 8.71	 9.09	
z:	14.73	 14.94	 15.00	
r:	4.74	 4.94	 5.01	
w:	64.72	 64.32	 64.19	
pi:	0.03	 0.22	 0.29	
